"nome","resumo","coordenador"
"DIÁLOGOS ENTRE LEITURA LITERÁRIA SENTIDOS E AFETOS","Em breve este conteúdo estará disponível.","Leila De Carvalho Mendes "
"FORMAÇÃO DE PROFESSORES: ENSINO-APRENDIZAGEM EM CONTEXTOS MULTICULTURAIS E INCLUSÃO","Em breve este conteúdo estará disponível.","Leila De Carvalho Mendes "
"FORMAÇÃO DE MEDIADOR DE LEITURA","Em breve este conteúdo estará disponível.","Leila De Carvalho Mendes "
"MONITORIA DE EDU02-15513 ENSINO DE CIÊNCIAS DA NATUREZA - FUNDAMENTOS TEMÁTICAS E METODOLOGIAS","Em breve este conteúdo estará disponível.","Leonardo Kaplan "
"MONITORIA EM EDU02-15704 EDUCAÇÃO AMBIENTAL NA ESCOLA PÚBLICA","Em breve este conteúdo estará disponível.","Leonardo Kaplan "
"MONITORIA EM EDU02-15813 PEDAGOGIA HISTÓRICO-CRÍTICA NO ENSINO DE CIÊNCIAS","Em breve este conteúdo estará disponível.","Leonardo Kaplan "
"PRÓ CULTURAS POPULARES COM ÊNFASE NO FOLCLORE","Em breve este conteúdo estará disponível.","Lucia Maria Alves De Oliveira "
"CENTRO DE REFERÊNCIA E MEMÓRIA DA EDUCAÇÃO POPULAR E EDUCAÇÃO DE JOVENS E ADULTOS (CREMEJA)","Em breve este conteúdo estará disponível.","Luciana Bandeira Barcelos "
"GESTÃO FORMAÇÃO E ENSINO NA GRADUAÇÃO EM PEDAGOGIA","Em breve este conteúdo estará disponível.","Luciana Borges Patroclo "
"POLÍTICAS PÚBLICAS E EDUCAÇÃO: AS INTERFACES E OS DESAFIOS DO TEMPO PRESENTE","Em breve este conteúdo estará disponível.","Luciane Da Silva Nascimento "
"POR UM LEITURA CONTRA COLONIAL: ENCONTRO DE CONFLUÊNCIAS","Em breve este conteúdo estará disponível.","Luís Thiago Freire Dantas "
"ESTÁGIO INTERNO COMPLEMENTAR EM ARTE-EDUCAÇÃO","Em breve este conteúdo estará disponível.","Luiz Carlos Coelho De Oliveira "
"INICIAÇÃO À DOCÊNCIA PARA AS RELAÇÕES E OS SABERES AFRO-PINDORÂMICOS","Em breve este conteúdo estará disponível.","Luiz Carlos Coelho De Oliveira "
"QUESTÕES DE GÊNERO NA ESCOLA: POR UM ENFRENTAMENTO ÀS DESIGUALDADES E ASSIMETRIAS NA EDUCAÇÃO BÁSICA","Em breve este conteúdo estará disponível.","Maira De Oliveira Freitas "
"MEMÓRIA E HISTÓRIA DA ALFABETIZAÇÃO","Em breve este conteúdo estará disponível.","Mairce Da Silva Araujo "
